200900001,BT330
200900001,BT340
200900001,BT410
200900001,BT420
200900001,BT430
200900001,BT440
200900002,SA330
200900002,SA340
200900002,SA410
200900002,SA420
200900003,SE410
200900003,SE420
200900003,SE430
200900003,SE430L
200900004,IT120
200900004,IT220
200900004,IT230
200900004,IT240
200900005,BT410
200900005,BT410L
200900005,BT420
200900005,BT430
200900005,BT440
200900006,IT410
200900006,IT420
200900006,IT430
200900006,IT440
200900007,SE410
200900007,SE420
200900007,SE430
200900007,SE430L
200900008,SE410
200900008,SE420
200900008,SE430
200900008,SE430L
200900009,SE410
200900009,SE420
200900009,SE430
200900009,SE430L
200900010,IT110
200900010,IT120
200900010,IT130
200900010,IT140
200900011,BT410
200900011,BT410L
200900011,BT420
200900011,BT430
200900011,BT440
200900012,BT410
200900012,BT420
200900012,BT430
200900012,BT440
200900013,BT410
200900013,BT410L
200900013,BT420
200900013,BT430
200900013,BT440
201100039,IT110
201100039,IT120
201100039,IT130
201100039,IT140
200900014,SA410
200900014,SA420
200900014,SA430
200900014,SA440
200900015,BT410
200900015,BT410L
200900015,BT420
200900015,BT430
200900015,BT440
200900016,SA410
200900016,SA420
200900016,SA430
200900016,SA440
201100038,IT110
201100038,IT120
201100038,IT130
201100038,IT140
200900017,SA410
200900017,SA420
200900017,SA430
200900017,SA440
200900018,SE410
200900018,SE420
200900018,SE430
200900018,SE430L
200900019,SA410
200900019,SA420
200900019,SA430
200900019,SA440
200900020,IT120
200900020,IT420
200900020,IT430
200900020,IT320
200900021,SA410
200900021,SA420
200900021,SA430
200900021,SA440
200900022,IT410
200900022,IT420
200900022,IT430
200900023,SE410
200900023,SE420
200900023,SE430
200900023,SE430L
200900024,BT410
200900024,BT410L
200900024,BT420
200900024,BT430
200900024,BT440
200900025,IT110
200900025,IT120
200900025,IT130
200900025,IT440
200900026,SE410
200900026,SE420
200900026,SE430
200900026,SE430L
200900027,BT410
200900027,BT410L
200900027,BT420
200900027,BT430
200900027,BT440
200900028,IT340
200900028,IT410
200900028,IT420
200900028,IT430
200900028,IT440
200900029,SE410
200900029,SE420
200900029,SE430
200900029,SE430L
200900030,SA410
200900030,SA420
200900030,SA430
200900030,SA440
201100037,IT110
201100037,IT120
201100037,IT130
201100037,SA140
200900031,SA410
200900031,SA420
200900031,SA430
200900032,SE410
200900032,SE420
200900032,SE430
200900032,SE430L
200900033,SA410
200900033,SA420
200900033,SA430
200900034,SE410
200900034,SE420
200900034,SE430
200900034,SE430L
200900035,BT410
200900035,BT410L
200900035,BT420
200900035,BT430
200900035,BT440
200900036,IT420
200900036,IT430
200900036,IT440
